HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.q1,Answer.q2,Answer.q3,Answer.q4,Answer.q5,Answer.q6,Answer.q7,Answer.q8,Answer.q9,Answer.q10,Answer.q11,Answer.q12,Answer.q13,Answer.q14,Answer.q15,Answer.q16,Answer.q17,Answer.q18,Answer.q19,Answer.q20,Answer.q21,Answer.q22,Answer.q23,Answer.q24,Answer.q25,Answer.q26,Answer.q27,Answer.q28,Answer.q29,Answer.q30,Answer.q31,Answer.q32,Answer.q33,Answer.q34,Answer.q35,Answer.q36,Answer.q37,Answer.q38,Answer.q39,Answer.q40,Answer.q41,Answer.q42,Answer.q43,Answer.q44,Answer.q45,Answer.q46,Answer.q47,Answer.q48,Answer.q49,Answer.q50,Answer.q51,Answer.q52,Answer.q53,Answer.q54,Answer.q55,Answer.q56,Answer.q57,Answer.q58,Approve,Reject
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,388U7OUMGZWO4LTSOT2XNLNXDKU0RO,A29QWU4TE8WZBJ,Submitted,Tue Aug 12 06:53:38 PDT 2025,Tue Aug 12 06:57:41 PDT 2025,Fri Aug 15 06:57:41 PDT 2025,,,,243,0% (0/0),0% (0/0),0% (0/0),A,B,B,B,B,B,A,B,A,B,A,A,B,A,B,A,A,A,B,A,A,B,A,A,B,A,B,A,B,B,A,B,A,B,B,B,A,B,A,A,A,A,A,A,A,B,A,A,B,A,B,A,A,A,B,A,A,B,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,39GAF6DQXJVG4HVRTWB72NVA3IBV1D,A2LE2F5QO2GG8,Submitted,Tue Aug 12 06:58:21 PDT 2025,Tue Aug 12 07:05:44 PDT 2025,Fri Aug 15 07:05:44 PDT 2025,,,,443,0% (0/0),0% (0/0),0% (0/0),,,B,B,B,A,B,A,B,A,B,B,A,A,A,B,A,B,A,A,B,A,A,A,A,A,B,B,A,B,B,A,B,B,A,B,A,B,A,A,A,A,A,B,B,A,B,A,A,B,A,B,A,B,A,B,B,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,39N5ACM9I6ILO21QBXH1B1OBF6XP9U,A57CKWIDGUQ27,Submitted,Tue Aug 12 07:01:07 PDT 2025,Tue Aug 12 07:04:39 PDT 2025,Fri Aug 15 07:04:39 PDT 2025,,,,212,0% (0/0),0% (0/0),0% (0/0),A,B,A,A,A,B,A,B,A,B,A,A,B,B,A,A,A,B,A,A,A,B,A,A,A,A,B,B,B,B,B,A,B,,A,B,A,A,A,A,A,A,A,B,B,A,B,A,A,B,A,B,A,B,A,B,B,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,39RP059MF9OYRSJAH135L3P6Y1QBMV,A3BZFWDXKOXOJ6,Submitted,Tue Aug 12 07:01:18 PDT 2025,Tue Aug 12 07:06:49 PDT 2025,Fri Aug 15 07:06:49 PDT 2025,,,,331,0% (0/0),0% (0/0),0% (0/0),A,B,A,B,A,B,A,B,A,B,A,B,A,B,B,A,B,A,B,A,B,A,B,A,A,B,B,A,A,B,A,B,A,B,A,B,B,A,A,B,B,A,B,B,B,B,,B,B,A,B,B,A,,,B,B,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,39ZSFO5CB0RNMJMVEV78A1PDJS1UJQ,A3OOWUBV0I1817,Submitted,Tue Aug 12 07:00:57 PDT 2025,Tue Aug 12 07:02:06 PDT 2025,Fri Aug 15 07:02:06 PDT 2025,,,,69,0% (0/0),0% (0/0),0% (0/0),B,B,B,,A,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,3A4NIXBJ8YUA415M8ESZZ6LBAV6LMU,AHXJV69FAZ21L,Submitted,Tue Aug 12 06:53:50 PDT 2025,Tue Aug 12 07:00:41 PDT 2025,Fri Aug 15 07:00:41 PDT 2025,,,,411,0% (0/0),0% (0/0),0% (0/0),A,B,A,A,A,B,A,B,A,,A,A,B,B,A,B,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,3A7Y0R2P3GJF3NGQJ0IVU8OHDAIXJL,A12Q2V4L5JPDCJ,Submitted,Tue Aug 12 06:53:04 PDT 2025,Tue Aug 12 06:58:45 PDT 2025,Fri Aug 15 06:58:45 PDT 2025,,,,341,0% (0/0),0% (0/0),0% (0/0),A,B,A,A,A,B,A,B,A,B,A,A,B,B,A,B,A,B,B,B,B,A,A,A,B,A,B,B,A,A,A,A,A,A,B,B,B,A,B,A,A,A,A,A,B,A,B,A,A,B,A,B,A,B,A,B,B,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,3B1NLC6UHRR03COYP3NB3IAYJJUPGN,A252PTBVQXM8A8,Submitted,Tue Aug 12 06:53:38 PDT 2025,Tue Aug 12 06:59:48 PDT 2025,Fri Aug 15 06:59:48 PDT 2025,,,,370,0% (0/0),0% (0/0),0% (0/0),B,A,B,B,B,A,B,A,B,A,B,B,A,A,A,B,A,B,A,B,B,A,A,A,B,B,B,B,B,B,B,B,A,A,A,B,A,A,A,A,A,B,A,A,B,B,B,A,A,A,A,A,A,A,A,A,B,B,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,3B3WTRP3E3XPWV0K9Z6PFOGI4W692S,AO100VY5NH3M6,Submitted,Tue Aug 12 07:01:18 PDT 2025,Tue Aug 12 07:07:20 PDT 2025,Fri Aug 15 07:07:20 PDT 2025,,,,362,0% (0/0),0% (0/0),0% (0/0),B,A,B,B,A,A,A,B,A,A,A,A,B,B,A,A,A,B,B,B,A,B,A,A,B,B,A,A,A,A,A,B,B,B,B,B,B,A,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,3BQU611VGHF0WFLJU8L4PBOWA2G99K,A158BSH3ALDZ17,Submitted,Tue Aug 12 07:01:18 PDT 2025,Tue Aug 12 07:07:55 PDT 2025,Fri Aug 15 07:07:55 PDT 2025,,,,397,0% (0/0),0% (0/0),0% (0/0),A,B,A,B,B,A,A,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,A,B,A,B,B,B,A,B,A,B,A,B,A,B,A,B,B,B,B,A,B,B,A,A,A,B,A,B,B,B,A,A,B,B,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,3BV8HQ2Z0OWRJFTQO7WS1W8EQJQ6AL,A30OSAXFZWQ2LC,Submitted,Tue Aug 12 07:01:18 PDT 2025,Tue Aug 12 07:08:21 PDT 2025,Fri Aug 15 07:08:21 PDT 2025,,,,423,0% (0/0),0% (0/0),0% (0/0),B,A,B,B,B,A,B,A,B,A,B,B,A,A,A,B,A,B,A,B,B,A,A,A,B,A,B,B,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,B,B,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,3BXQMRHWLRTDNRSGHSK0QTHUNMWUMU,A1VDKS4VBJSAXV,Submitted,Tue Aug 12 06:53:03 PDT 2025,Tue Aug 12 06:58:21 PDT 2025,Fri Aug 15 06:58:21 PDT 2025,,,,318,0% (0/0),0% (0/0),0% (0/0),A,B,A,A,A,A,A,B,A,B,B,B,B,A,A,B,A,B,A,A,B,A,A,A,B,B,B,B,B,A,B,A,B,B,A,B,B,A,B,B,B,B,A,A,B,A,B,A,A,B,A,B,A,B,A,B,B,B,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,3C6FJU71UIODH8HU0V8BKO41WWCYUQ,A2CXI9303KPVD8,Submitted,Tue Aug 12 06:53:28 PDT 2025,Tue Aug 12 06:58:21 PDT 2025,Fri Aug 15 06:58:21 PDT 2025,,,,293,0% (0/0),0% (0/0),0% (0/0),A,A,B,B,B,A,B,A,B,A,B,B,A,A,A,A,A,B,A,B,B,A,A,A,A,A,B,B,A,B,B,A,A,B,B,A,B,B,B,B,B,B,,,,A,B,B,A,B,A,B,A,B,B,B,B,B,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,3D3VGR7TBSAKLDSP7GKGPJL4GWC3RK,A22OEVQ0RIXQ7Z,Submitted,Tue Aug 12 07:01:18 PDT 2025,Tue Aug 12 07:08:20 PDT 2025,Fri Aug 15 07:08:20 PDT 2025,,,,422,0% (0/0),0% (0/0),0% (0/0),B,A,B,B,B,A,B,A,B,A,B,B,A,A,A,A,A,B,A,A,B,A,B,B,B,A,B,B,B,B,A,A,B,B,A,A,B,A,B,B,A,A,A,A,B,A,B,A,A,B,A,B,A,B,A,B,B,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,3EJJQNKUAJ0ZFLZOM19ITDMEZ1TRHE,AW7JEJN4KPU6B,Submitted,Tue Aug 12 06:53:03 PDT 2025,Tue Aug 12 06:56:34 PDT 2025,Fri Aug 15 06:56:34 PDT 2025,,,,211,0% (0/0),0% (0/0),0% (0/0),B,A,B,B,B,A,B,A,B,A,B,B,A,A,A,A,B,B,B,A,A,A,B,A,B,B,A,A,A,A,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,3G0WWMR1VNFRDG6ZCKFVT795PR3QNO,A1JSCKBV95TCYF,Submitted,Tue Aug 12 07:02:09 PDT 2025,Tue Aug 12 07:06:26 PDT 2025,Fri Aug 15 07:06:26 PDT 2025,,,,257,0% (0/0),0% (0/0),0% (0/0),B,A,B,B,B,A,B,A,B,A,A,B,A,A,A,A,B,B,A,B,A,B,B,A,B,A,A,A,B,B,B,B,A,A,B,B,B,A,B,B,A,A,B,B,B,A,A,B,A,A,B,B,B,A,A,A,B,B,,
